qnum;question;lemmatization;theme
1_1;Что нового будет в марте?;что новое быть в март;events
1_2;Когда приедет выставка Морозова?;когда приехать выставка морозов;events
1_3;Расскажи мне про Пятницы в Пушкинском;рассказать я про пятница в пушкинский;events
1_4;Когда откроется выставка Тату?;когда открыться выставка тат;events
1_5;Цены на билеты Гейнсборо?;цена на билет гейнсборо;events
1_6;Какие квесты есть для детей?;какой квеста есть для ребёнок;events
1_7;Какие концерты будут на следующей неделе?;какой концерт быть на следующий неделя;events
1_8;На какую лекцию по искусству сходить?;на какой лекция по искусство сходить;events
1_9;Что мне посмотреть в выходные?;что я посмотреть в выходной;events
1_10;Какие выставки были в 2019 году?;какой выставка быть в 2019 год;events
1_11;Где скачать аудиогид по выставке Гейнсборо?;где скачать аудиогид по выставка гейнсборо;events
1_12;Как записать ребенка в кружок?;как записать ребёнок в кружок;events
1_13;Как связан с Пушкинским Рихтер?;как связать с пушкинский рихтер;events
1_14;Хочу что-нибудь по импрессионистам, срочно.;хотеть что нибыть по импрессионист срочно;events
1_15;На выставке Гейнсборо можно фотографировать?;на выставка гейнсборо можно фотографировать;events
1_16;Участвует ли музей в Библионочи?;участвовать ли музей в библионочь;events
1_17;Есть ли в музее лекторий?;есть ли в музей лекторий;events
1_18;Где узнать расписание лекций?;где узнать расписание лекция;events
1_19;Есть ли лекции про Дюрера?;есть ли лекция про дюрер;events
1_20;Когда снова привезут “Джоконду” Леонардо да Винчи?;когда снова привезти “джоконду” леонардо да винчи;events
2_1;Когда в музее длинный / продленный день?;когда в музей длинный продлить день;navigation
2_2;До которого часа работают кассы?;до который час работать касса;navigation
2_3;Что запрещено проносить в музей?;что запретить проносить в музей;navigation
2_4;Есть ли камеры хранения в музее?;есть ли камера хранение в музей;navigation
2_5;Где в музее посмотреть золото Трои?;где в музей посмотреть золото троить;navigation
2_6;Сколько зданий у Пушкинского?;сколько здание у пушкинский;navigation
2_7;Можно ли прийти в музей с собакой?;можно ли прийти в музей с собака;navigation
2_8;Что есть в музейном кафе?;что есть в музейный кафе;navigation
2_9;Где висят импрессионисты?;где висеть импрессионист;navigation
2_10;Как пройти без очереди?;как пройти без очередь;navigation
2_11;Можно в музее фотографировать?;можно в музей фотографировать;navigation
2_12;Где припарковаться в Пушкинском?;где припарковаться в пушкинский;navigation
2_13;Можно ли заказать копию понравившейся картины/скульптуры?;можно ли заказать копия понравиться картина скульптура;navigation
2_14;Когда закончится стройка?;когда закончиться стройка;navigation
2_15;Сколько стоит карта Друга музея?;сколько стоить карта друг музей;navigation
2_16;Где тут лифт?;где тут лифт;navigation
2_17;Экспозиция для слабовидящих;экспозиция для слабовидящий;navigation
2_18;Как доехать от метро до музея?;как доехать от метро до музей;navigation
2_19;Есть ли при Музее гостиница?;есть ли при музей гостиница;navigation
2_20;Где кабинет Марины Лошак?;где кабинет марина лошак;navigation
3_1;Хочу найти все об орнаменте;хотеть найти весь о орнамент;collections
3_2;Порекомендуй литературу по Ренессансу;порекомендовать литература по ренессанс;collections
3_3;Дюрер, гравюры, что у вас есть?;дюрер гравюра что у вы есть;collections
3_4;Нужны книги Бакштейна;нужный книга бакштейн;collections
3_5;Список изданий ГМИИ за 2017 год;список издание гмия за 2017 год;collections
3_6;Что посмотреть по японской керамике?;что посмотреть по японский керамик;collections
3_7;Сколько в коллекции предметов раннего средневековья?;сколько в коллекция предмет ранний средневековье;collections
3_8;Каталог «Золота Трои»;каталог «золото трои»;collections
3_9;Какие самые древние монеты есть в коллекции музея?;какой самый древние монета есть в коллекция музей;collections
3_10;Мумии и саркофаги настоящие?;мумия и саркофаг настоящий;collections
3_11;Почему в музее так много слепков?;почему в музей так много слепок;collections
3_12;Покажите все предметы с изображением лошади.;показать весь предмет с изображение лошадь;collections
3_13;Самые знаменитые картины в Пушкинском / шедевры Пушкинского музея?;самый знаменитый картина в пушкинский шедевр пушкинский музей;collections
3_14;Что в музее есть из алебастра?;что в музей есть из алебастр;collections
3_15;Покажите взорванные в Сирии крылатые Шеду;показать взорвать в сирия крылатый шед;collections
3_16;У вас есть современное искусство?;у вы есть современный искусство;collections
3_17;Где найти палитры Матисса?;где найти палитра матисс;collections
3_18;Откуда в музее картина «Девочка на шаре»?;откуда в музей картина «девочка на шаре»;collections
3_19;Есть ли в музее картины Леонардо да Винчи?;есть ли в музей картина леонардо да винчи;collections
3_20;Расскажи о «Давиде»?;рассказать о «давиде»;collections
